@RELATION nflpredictor

@ATTRIBUTE homeTotalYdsLast3 real
@ATTRIBUTE homeTotalYdsSeason real
@ATTRIBUTE homePassYdsLast3 real
@ATTRIBUTE homePassYdsSeason real
@ATTRIBUTE homeRushYdsLast3 real
@ATTRIBUTE homeRushYdsSeason real
@ATTRIBUTE homeFirstDownsLast3 real
@ATTRIBUTE homeFirstDownsSeaon real
@ATTRIBUTE homeTurnoversLast3 real
@ATTRIBUTE homeTurnoversSeason real
@ATTRIBUTE homePuntsLast3 real
@ATTRIBUTE homePuntsSeason real
@ATTRIBUTE homePosTimeLast3 real
@ATTRIBUTE homePosTimeSeason real
@ATTRIBUTE awayTotalYdsLast3 real
@ATTRIBUTE awayTotalYdsSeason real
@ATTRIBUTE awayPassYdsLast3 real
@ATTRIBUTE awayPassYdsSeason real
@ATTRIBUTE awayRushYdsLast3 real
@ATTRIBUTE awayRushYdsSeason real
@ATTRIBUTE awayFirstDownsLast3 real
@ATTRIBUTE awayFirstDownsSeason real
@ATTRIBUTE awayTurnoversLast3 real
@ATTRIBUTE awayTurnoversSeason real
@ATTRIBUTE awayPuntsLast3 real
@ATTRIBUTE awayPuntsSeason real
@ATTRIBUTE awayPosTimeLast3 real
@ATTRIBUTE awayPosTimeSeason real
@ATTRIBUTE winner {H,A}

@Data
281, 281, 213, 213, 68, 68, 19, 19, 0, 0, 4, 4, 1853, 1853, 169, 169, 83, 83, 86, 86, 14, 14, 7, 7, 4, 4, 1703, 1703, H
231, 231, 198, 198, 33, 33, 14, 14, 3, 3, 5, 5, 1410, 1410, 310, 310, 85, 85, 225, 225, 19, 19, 0, 0, 6, 6, 2002, 2002, A
226, 226, 150, 150, 76, 76, 12, 12, 0, 0, 6, 6, 1617, 1617, 307, 307, 221, 221, 86, 86, 16, 16, 2, 2, 7, 7, 2007, 2007, A
228, 228, 114, 114, 114, 114, 12, 12, 0, 0, 5, 5, 1564, 1564, 299, 299, 259, 259, 40, 40, 17, 17, 2, 2, 6, 6, 1703, 1703, A
188, 188, 159, 159, 29, 29, 11, 11, 0, 0, 5, 5, 1211, 1211, 366, 366, 218, 218, 148, 148, 19, 19, 3, 3, 4, 4, 1897, 1897, A
462, 462, 272, 272, 190, 190, 22, 22, 1, 1, 4, 4, 2326, 2326, 441, 441, 368, 368, 73, 73, 28, 28, 1, 1, 1, 1, 2228, 2228, H
267, 267, 82, 82, 185, 185, 17, 17, 2, 2, 4, 4, 1897, 1897, 515, 515, 358, 358, 157, 157, 28, 28, 3, 3, 2, 2, 2190, 2190, A
320, 320, 234, 234, 86, 86, 18, 18, 2, 2, 5, 5, 1701, 1701, 183, 183, 145, 145, 38, 38, 11, 11, 2, 2, 6, 6, 1274, 1274, A
272, 272, 187, 187, 85, 85, 15, 15, 2, 2, 5, 5, 1432, 1432, 247, 247, 170, 170, 77, 77, 13, 13, 1, 1, 8, 8, 1653, 1653, H
276, 276, 186, 186, 90, 90, 17, 17, 1, 1, 4, 4, 1372, 1372, 450, 450, 276, 276, 174, 174, 26, 26, 0, 0, 5, 5, 2012, 2012, H
203, 203, 182, 182, 21, 21, 13, 13, 1, 1, 8, 8, 1897, 1897, 446, 446, 279, 279, 167, 167, 25, 25, 3, 3, 5, 5, 1947, 1947, H
352, 352, 266, 266, 86, 86, 18, 18, 4, 4, 4, 4, 1983, 1983, 357, 357, 321, 321, 36, 36, 19, 19, 3, 3, 7, 7, 2171, 2171, H
302, 302, 227, 227, 75, 75, 10, 10, 0, 0, 8, 8, 1593, 1593, 268, 268, 179, 179, 89, 89, 17, 17, 2, 2, 5, 5, 1598, 1598, H
317, 317, 240, 240, 77, 77, 19, 19, 2, 2, 5, 5, 1703, 1703, 501, 501, 303, 303, 198, 198, 32, 32, 1, 1, 3, 3, 2389, 2389, A
462, 462, 344, 344, 118, 118, 18, 18, 0, 0, 4, 4, 1588, 1588, 351, 351, 248, 248, 103, 103, 18, 18, 2, 2, 1, 1, 2168, 2168, A
259, 259, 163, 163, 96, 96, 16, 16, 4, 4, 5, 5, 1747, 1747, 365, 365, 294, 294, 71, 71, 21, 21, 2, 2, 2, 2, 2036, 2036, A
406.0, 406.0, 242.0, 242.0, 164.0, 164.0, 27.0, 27.0, 1.0, 1.0, 3.5, 3.5, 2055.0, 2055.0, 234.0, 234.0, 162.5, 162.5, 71.5, 71.5, 14.0, 14.0, 2.5, 2.5, 5.5, 5.5, 1617.0, 1617.0, H
313.0, 313.0, 194.5, 194.5, 118.5, 118.5, 17.5, 17.5, 2.0, 2.0, 5.5, 5.5, 2017.5, 2017.5, 332.5, 332.5, 262.0, 262.0, 70.5, 70.5, 20.0, 20.0, 2.5, 2.5, 5.0, 5.0, 1998.5, 1998.5, H
248.0, 248.0, 167.0, 167.0, 81.0, 81.0, 15.5, 15.5, 3.0, 3.0, 4.5, 4.5, 1617.5, 1617.5, 317.0, 317.0, 212.0, 212.0, 105.0, 105.0, 18.0, 18.0, 1.5, 1.5, 3.5, 3.5, 1762.5, 1762.5, H
301.5, 301.5, 251.0, 251.0, 50.5, 50.5, 15.0, 15.0, 1.0, 1.0, 6.0, 6.0, 1658.5, 1658.5, 300.0, 300.0, 197.0, 197.0, 103.0, 103.0, 15.0, 15.0, 1.5, 1.5, 4.5, 4.5, 1641.5, 1641.5, A
287.5, 287.5, 119.0, 119.0, 168.5, 168.5, 18.5, 18.5, 0.5, 0.5, 5.0, 5.0, 1888.5, 1888.5, 291.0, 291.0, 152.5, 152.5, 138.5, 138.5, 14.5, 14.5, 0.5, 0.5, 7.0, 7.0, 1984.0, 1984.0, H
370.0, 370.0, 292.0, 292.0, 78.0, 78.0, 23.0, 23.0, 1.0, 1.0, 3.5, 3.5, 2039.0, 2039.0, 326.0, 326.0, 216.5, 216.5, 109.5, 109.5, 21.0, 21.0, 1.0, 1.0, 3.5, 3.5, 1872.5, 1872.5, H
