@RELATION nflpredictor

@ATTRIBUTE homeTotalYdsLast3 real
@ATTRIBUTE homeTotalYdsSeason real
@ATTRIBUTE homePassYdsLast3 real
@ATTRIBUTE homePassYdsSeason real
@ATTRIBUTE homeRushYdsLast3 real
@ATTRIBUTE homeRushYdsSeason real
@ATTRIBUTE homeFirstDownsLast3 real
@ATTRIBUTE homeFirstDownsSeaon real
@ATTRIBUTE homeTurnoversLast3 real
@ATTRIBUTE homeTurnoversSeason real
@ATTRIBUTE homePuntsLast3 real
@ATTRIBUTE homePuntsSeason real
@ATTRIBUTE awayTotalYdsLast3 real
@ATTRIBUTE awayTotalYdsSeason real
@ATTRIBUTE awayPassYdsLast3 real
@ATTRIBUTE awayPassYdsSeason real
@ATTRIBUTE awayRushYdsLast3 real
@ATTRIBUTE awayRushYdsSeason real
@ATTRIBUTE awayFirstDownsLast3 real
@ATTRIBUTE awayFirstDownsSeason real
@ATTRIBUTE awayTurnoversLast3 real
@ATTRIBUTE awayTurnoversSeason real
@ATTRIBUTE awayPuntsLast3 real
@ATTRIBUTE awayPuntsSeason real
@ATTRIBUTE winner {H,A}

@Data
281, 281, 213, 213, 68, 68, 19, 19, 0, 0, 4, 4, 169, 169, 83, 83, 86, 86, 14, 14, 7, 7, 4, 4, H
169, 169, 83, 83, 86, 86, 14, 14, 7, 7, 4, 4, 281, 281, 213, 213, 68, 68, 19, 19, 0, 0, 4, 4, A
231, 231, 198, 198, 33, 33, 14, 14, 3, 3, 5, 5, 310, 310, 85, 85, 225, 225, 19, 19, 0, 0, 6, 6, A
310, 310, 85, 85, 225, 225, 19, 19, 0, 0, 6, 6, 231, 231, 198, 198, 33, 33, 14, 14, 3, 3, 5, 5, H
226, 226, 150, 150, 76, 76, 12, 12, 0, 0, 6, 6, 307, 307, 221, 221, 86, 86, 16, 16, 2, 2, 7, 7, A
307, 307, 221, 221, 86, 86, 16, 16, 2, 2, 7, 7, 226, 226, 150, 150, 76, 76, 12, 12, 0, 0, 6, 6, H
228, 228, 114, 114, 114, 114, 12, 12, 0, 0, 5, 5, 299, 299, 259, 259, 40, 40, 17, 17, 2, 2, 6, 6, A
299, 299, 259, 259, 40, 40, 17, 17, 2, 2, 6, 6, 228, 228, 114, 114, 114, 114, 12, 12, 0, 0, 5, 5, H
188, 188, 159, 159, 29, 29, 11, 11, 0, 0, 5, 5, 366, 366, 218, 218, 148, 148, 19, 19, 3, 3, 4, 4, A
366, 366, 218, 218, 148, 148, 19, 19, 3, 3, 4, 4, 188, 188, 159, 159, 29, 29, 11, 11, 0, 0, 5, 5, H
462, 462, 272, 272, 190, 190, 22, 22, 1, 1, 4, 4, 441, 441, 368, 368, 73, 73, 28, 28, 1, 1, 1, 1, H
441, 441, 368, 368, 73, 73, 28, 28, 1, 1, 1, 1, 462, 462, 272, 272, 190, 190, 22, 22, 1, 1, 4, 4, A
267, 267, 82, 82, 185, 185, 17, 17, 2, 2, 4, 4, 515, 515, 358, 358, 157, 157, 28, 28, 3, 3, 2, 2, A
515, 515, 358, 358, 157, 157, 28, 28, 3, 3, 2, 2, 267, 267, 82, 82, 185, 185, 17, 17, 2, 2, 4, 4, H
