@RELATION nfl

@ATTRIBUTE Year real
@ATTRIBUTE Week real
@ATTRIBUTE homeTotalYds real
@ATTRIBUTE homePassYds real
@ATTRIBUTE homeRushYds real
@ATTRIBUTE homeFirstDowns real
@ATTRIBUTE homeTurnovers real
@ATTRIBUTE homePunts real
@ATTRIBUTE homePosTime real
@ATTRIBUTE awayTotalYds real
@ATTRIBUTE awayPassYds real
@ATTRIBUTE awayRushYds real
@ATTRIBUTE awayFirstDowns real
@ATTRIBUTE awayTurnovers real
@ATTRIBUTE awayPunts real
@ATTRIBUTE awayPosTime real
@ATTRIBUTE class {H,A}

@Data
2009,1,357,321,36,19,3,7,2171,320,234,86,18,2,5,1701,H
2009,1,281,213,68,19,0,4,1853,259,163,96,16,4,5,1747,H
2009,1,501,303,198,32,1,3,2389,188,159,29,11,0,5,1211,H
2009,1,169,83,86,14,7,4,1703,267,82,185,17,2,4,1897,A
2009,1,307,221,86,16,2,7,2007,302,227,75,10,0,8,1593,A
2009,1,268,179,89,17,2,5,1598,310,85,225,19,0,6,2002,A
2009,1,183,145,38,11,2,6,1274,462,272,190,22,1,4,2326,A
2009,1,365,294,71,21,2,2,2036,228,114,114,12,0,5,1564,H
2009,1,515,358,157,28,3,2,2190,231,198,33,14,3,5,1410,H
2009,1,450,276,174,26,0,5,2012,462,344,118,18,0,4,1588,A
2009,1,299,259,40,17,2,6,1703,203,182,21,13,1,8,1897,A
2009,1,351,248,103,18,2,1,2168,272,187,85,15,2,5,1432,H
2009,1,446,279,167,25,3,5,1947,247,170,77,13,1,8,1653,H
2009,1,226,150,76,12,0,6,1617,352,266,86,18,4,4,1983,H
2009,1,441,368,73,28,1,1,2228,276,186,90,17,1,4,1372,H
2009,1,366,218,148,19,3,4,1897,317,240,77,19,2,5,1703,A
2009,2,371,220,151,23,2,3,1892,440,296,144,24,2,2,1708,H
2009,2,265,136,129,17,3,4,1825,265,153,112,18,1,4,1775,A
2009,2,311,222,89,22,1,6,1572,319,168,151,19,2,4,2028,A
2009,2,372,280,92,18,3,4,1719,383,265,118,22,2,3,1881,A
2009,2,409,236,173,25,2,5,2319,166,99,67,11,0,7,1281,A
2009,2,254,137,117,14,1,5,1750,299,216,83,18,1,6,1850,H
2009,2,463,378,85,23,4,5,1774,421,288,133,23,1,3,1826,A
2009,2,449,209,240,19,2,5,1557,420,357,63,19,0,6,2043,A
2009,2,362,237,125,21,1,2,2093,245,119,126,14,1,4,1507,H
2009,2,438,220,218,25,2,3,1773,353,296,57,19,2,6,1827,H
2009,2,379,123,256,16,0,6,2071,283,217,66,19,1,7,1529,H
2009,2,275,232,43,17,0,6,1774,308,203,105,21,2,3,1826,H
2009,2,449,263,186,25,1,2,1964,200,146,54,11,3,6,1636,H
2009,2,474,421,53,20,2,2,1879,311,181,130,22,1,4,1721,A
2009,2,378,127,251,23,4,4,1511,427,330,97,19,0,5,2089,A
2009,2,403,164,239,27,1,1,2707,356,295,61,14,0,3,893,A
2009,3,479,337,142,28,1,4,1878,186,115,71,11,4,5,1722,H
2009,3,273,173,100,19,0,5,1518,373,271,102,17,1,2,2082,H
2009,3,381,227,154,23,0,6,2208,390,325,65,22,1,5,1392,H
2009,3,397,286,111,23,2,4,1748,398,214,184,24,1,3,1852,A
2009,3,377,283,94,19,1,6,1929,246,188,58,13,1,9,1671,H
2009,3,445,277,168,28,0,2,2389,257,199,58,13,1,5,1211,H
2009,3,420,327,93,21,1,3,1835,196,97,99,11,1,9,1765,H
2009,3,336,187,149,22,3,4,1781,402,250,152,24,0,4,1819,A
2009,3,86,58,28,5,1,7,982,397,171,226,27,0,4,2618,A
2009,3,243,154,89,13,2,9,1586,378,156,222,21,1,5,2014,A
2009,3,346,243,103,19,2,2,1776,318,233,85,14,2,4,1824,A
2009,3,229,146,83,13,2,9,1958,286,159,127,17,4,7,1642,H
2009,3,137,42,95,9,3,4,1425,372,157,215,21,1,2,2175,A
2009,3,355,286,69,19,1,2,1653,289,140,149,19,2,4,1947,H
2009,3,323,299,24,21,3,6,1698,505,379,126,22,1,4,1902,A
2009,3,449,237,212,24,0,5,2224,271,198,73,15,3,6,1376,H
2009,4,276,125,151,14,0,4,1410,398,308,90,25,2,5,2190,H
2009,4,395,249,146,22,2,9,2335,375,221,154,21,2,9,2161,A
2009,4,329,209,120,16,2,7,2053,165,120,45,8,3,8,1547,H
2009,4,431,353,78,24,1,2,1734,279,230,49,20,2,5,1866,H
2009,4,442,305,137,27,1,3,2047,379,284,95,19,3,5,1553,H
2009,4,193,88,105,15,1,7,1753,429,273,156,21,2,4,1847,A
2009,4,319,234,85,25,1,3,2096,363,247,116,24,2,3,1504,H
2009,4,277,152,125,14,4,4,1736,229,100,129,12,2,5,1864,H
2009,4,336,86,250,25,0,5,2229,206,160,46,10,3,5,1371,H
2009,4,343,190,153,18,1,5,1959,244,112,132,14,4,6,1641,H
2009,4,337,221,116,18,1,6,1613,315,241,74,20,2,6,1987,H
2009,4,228,132,96,13,0,7,1812,177,82,95,9,3,8,1788,H
2009,4,497,320,177,32,2,2,2420,251,235,16,17,1,6,1180,H
2009,4,334,271,63,22,1,5,1904,424,342,82,19,2,2,1696,H
2009,5,257,175,82,12,2,6,1541,403,261,142,22,2,4,2059,A
2009,5,288,143,145,13,3,7,1894,193,22,171,9,1,9,1706,A
2009,5,248,162,86,16,2,4,1877,198,124,74,15,1,5,1723,H
2009,5,335,225,110,21,1,3,1955,344,262,82,18,1,4,1645,A
2009,5,304,232,72,20,0,8,2078,498,348,150,20,2,4,1920,A
2009,5,483,263,220,27,1,3,2164,124,64,60,7,3,7,1436,H
2009,5,325,249,76,16,0,5,1527,303,218,85,22,3,4,2073,H
2009,5,400,278,122,27,4,3,1959,377,288,89,21,1,2,1641,A
2009,5,279,179,100,13,3,5,1411,477,329,148,28,2,4,2189,A
2009,5,340,296,44,19,1,7,1595,416,371,45,23,1,5,2005,H
2009,5,424,321,103,27,2,5,2189,305,209,96,18,1,5,1702,H
2009,5,379,236,143,24,0,3,2084,199,161,38,10,2,8,1516,H
2009,5,245,155,90,12,2,4,1582,367,309,58,23,2,4,2018,A
2009,5,413,262,151,23,0,4,2015,309,171,138,20,0,4,1585,H
2009,6,296,250,46,14,3,7,1425,472,385,87,26,2,5,2175,A
2009,6,435,328,107,23,2,2,2448,149,71,78,10,3,5,1152,H
2009,6,492,326,166,33,3,4,2532,262,207,55,13,1,6,1488,H
2009,6,426,259,167,19,0,5,2083,448,367,81,20,0,7,1517,H
2009,6,493,360,133,28,0,4,2167,325,241,84,17,2,4,1433,H
2009,6,543,403,140,28,4,2,2206,197,106,91,12,4,5,1394,H
2009,6,245,121,124,12,2,4,1659,322,55,267,22,3,3,1941,A
2009,6,265,147,118,7,2,8,1370,268,158,110,16,0,7,2230,A
2009,6,325,209,116,18,2,7,1982,283,216,67,14,0,8,1618,H
2009,6,128,114,14,7,2,8,1030,344,282,62,21,2,6,2570,A
2009,6,619,426,193,32,0,1,2340,186,-7,193,9,5,6,1260,H
2009,6,414,96,318,15,6,5,1993,296,154,142,20,2,8,2343,A
2009,6,253,185,68,16,2,5,1566,373,290,83,21,3,4,2034,H
2009,6,311,238,73,20,1,3,1757,328,227,101,19,0,4,1843,A
2009,7,448,233,215,30,0,1,2182,279,244,35,15,4,3,1418,H
2009,7,139,81,58,12,2,4,1446,460,258,202,25,0,2,2154,A
2009,7,336,246,90,18,1,5,1829,297,238,59,17,2,5,1771,H
2009,7,203,82,121,10,3,6,1635,403,268,135,17,0,4,1965,A
2009,7,259,153,106,14,1,6,1382,386,297,89,21,2,6,2218,H
2009,7,272,117,155,14,2,5,1761,391,235,156,24,0,4,1839,A
2009,7,240,151,89,10,3,9,1605,414,307,107,18,2,6,1995,A
2009,7,425,309,116,20,4,6,2080,167,114,53,9,0,8,1520,A
2009,7,263,144,119,13,4,5,1443,447,131,316,26,0,3,2157,A
2009,7,414,299,115,18,1,3,1732,298,174,124,21,3,5,1868,H
2009,7,334,197,137,17,3,6,1618,414,276,138,22,4,3,1982,A
2009,7,327,220,107,15,4,7,1816,288,216,72,15,2,8,1784,A
2009,7,308,246,62,21,4,7,1903,262,140,122,11,0,8,1697,A
2009,8,292,167,125,16,0,4,2017,200,134,66,17,1,8,1583,H
2009,8,204,107,97,9,2,6,1252,439,253,186,24,3,1,2348,A
2009,8,369,199,170,20,1,5,2245,191,74,117,9,5,6,1355,H
2009,8,362,249,113,26,1,4,2085,308,229,79,18,2,6,1515,H
2009,8,289,162,127,17,1,7,1923,362,212,150,21,1,5,1677,A
2009,8,351,261,90,21,0,5,1952,355,244,111,19,2,3,1648,A
2009,8,410,349,61,20,0,7,2014,295,182,113,16,2,8,1586,H
2009,8,378,251,127,23,1,7,2046,104,52,52,10,1,7,1554,A
2009,8,346,246,100,20,2,3,1829,180,81,99,13,1,4,1771,H
2009,8,430,125,305,20,0,4,2383,330,113,217,12,2,7,1217,H
2009,8,320,226,94,23,6,4,1622,355,85,270,13,0,6,1978,A
2009,8,391,211,180,17,2,3,1467,356,215,141,21,3,3,2133,H
2009,8,437,291,146,23,4,2,1994,442,281,161,21,3,3,1606,H
2009,9,306,125,181,18,1,3,1588,312,176,136,17,1,3,2012,H
2009,9,417,347,70,20,1,4,1604,438,256,182,27,1,4,1996,A
2009,9,369,223,146,20,1,5,2400,215,160,55,16,2,5,1200,H
2009,9,378,306,72,27,2,3,1527,382,301,81,22,3,4,2073,H
2009,9,426,253,173,21,1,4,2173,301,241,60,14,0,7,1427,H
2009,9,432,323,109,22,1,3,1733,334,201,133,21,0,5,1867,H
2009,9,279,198,81,17,1,7,1483,404,234,170,20,3,7,2117,H
2009,9,414,330,84,18,2,3,1654,371,189,182,21,3,3,1946,H
2009,9,397,342,55,25,2,3,1842,300,186,114,17,5,2,1758,H
2009,9,304,188,116,19,1,5,2267,226,192,34,18,2,5,1333,A
2009,9,358,250,108,25,4,3,2030,315,163,152,14,0,5,1570,A
2009,9,297,208,89,17,2,3,1696,358,282,76,18,1,5,1904,A
2009,9,242,215,27,12,3,7,1617,375,202,173,21,2,5,1983,A
2009,10,216,106,110,12,1,5,1893,350,307,43,19,5,4,1707,H
